fileId,Lang
001bee54,2
00293990,6
00a2049b,1
00b1dc48,2
00c05eaa,5
0138c7b0,3
013d7a40,5
016996d7,4
019986a7,1
01a8c84f,3
01ddceb9,5
020325e6,5
021e4931,6
029948d1,5
02ee7959,1
03299482,5
032addf5,2
03a30a00,6
03e4f0db,5
042b9211,4
04a99990,5
05e62de5,5
06501b4d,1
0663a3c5,4
06a2f82f,4
06aa0f5f,1
06f649ad,2
073304e0,3
0763c27f,6
0767402b,5
07ca9251,1
081b9a69,6
0828c40c,2
082dd676,1
08389095,5
08cfd54f,6
08fcc2bb,1
090cd776,6
097ab561,6
09988c03,1
0a30e15a,5
0a7e2e0f,1
0a8af35f,2
0b49af9a,3
0b56f57c,6
0b941206,6
0bda545d,5
0bdab8a4,5
0c53b9ea,5
0c68b839,3
0c96a067,3
0cc24336,6
0cebf23c,5
0d4d2465,6
0d985f30,3
0dda934e,1
0e4d1519,6
0f0a3978,3
0f41f15a,1
0f48e218,5
0fea02ab,1
0ff875ae,2
0ff95c4f,2
1101666f,5
1188a9f9,3
11c2de12,6
121bc1a6,5
124ffb14,6
12795c15,1
127b1a1e,5
129c50be,5
12bad897,5
12d87060,5
12e1b4e1,2
13067c5f,3
1314cafa,5
131f0636,1
13f9b9c1,3
13fc2362,5
140119e9,2
144fe3c7,6
1465b88e,3
14ab2440,5
14c260c5,6
1566f562,2
156b8fa5,2
15f4322b,5
16523e4e,2
165e929f,5
1676311e,2
16d93a50,1
17113a64,3
17510cbe,5
17db5cf2,1
17dec9f5,2
1818982a,6
18eacac2,1
1977b986,3
19f26575,5
19fae2e9,1
1a59573e,5
1ab2eafd,5
1ad237e1,5
1af05453,1
1b20b603,1
1be99a4b,5
1c10ac1c,6
1c29e4e6,4
1c457ddd,5
1ca41e91,2
1d1b78e0,1
1e46fd5b,6
1f01e0a5,5
1f8f039e,3
2046c827,3
2114c427,5
2116e011,2
2178d860,6
2198b60f,6
21b478dd,1
21e013e7,6
22126ac5,1
224c9fb5,3
22529509,5
225ca7bb,5
22f72cda,6
2361e20b,3
23baa93c,5
23f6fc8f,5
2416c1b8,6
24802796,1
24b942cb,6
250caf50,5
2560a058,6
256ff30d,6
26134a86,6
266668c8,1
26ef85d2,4
26f8eb5f,5
271d31fb,2
2743643a,3
2751a7eb,1
27908ff5,2
27ebd1ab,2
281bba71,4
2831cd39,1
283dfcd1,1
28cfb4fc,1
28df7e8e,5
28f55ee4,1
